Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.10291182010568968,6261.76433882376,0.08433345747773531,0.017702974767614822,0.45106747666737335
Random Forest Regressor,0.009463833434343427,417.5567447172991,0.011552580140200181,0.00022302625116874414,0.9930844186115297
Support Vector Regressor,0.07417445630625825,2546.6103822357613,0.029176289289223913,0.0063531058250174965,0.8030033676653127
Kernel Ridge Regressor,0.0338997238035614,1343.9723918540328,0.029443728097165372,0.0020161243982175525,0.9374841647918619
K-NN Regressor,0.06551408333333333,2678.1323235078494,0.05984307080461688,0.007873288238333333,0.7558656645944194
Gaussian Process Regressor,0.00795798022193155,21.480638621692925,0.010934161659579077,0.00018288534041046268,0.994329104983208
Gradient Boosting Regressor,0.00915375463671012,222.14585351591555,0.011284491321329297,0.00021113096833024828,0.9934532666559972
TPOT Regressor 1,0.007918655504893879,12.494849126897181,0.01095614934272542,0.00018274231342528882,0.9943335399533136
TPOT Regressor 2,0.014250396990278654,1749.6435477879913,0.017411835160753227,0.0005062458180457853,0.9843023673719045
TPOT Regressor 3,0.008538251388888895,129.16001652098274,0.010946278919365861,0.00019272275896041658,0.9940240670413597
TPOT Regressor 4,0.011557324289175386,1103.5013083051394,0.013202512568794497,0.00030787808285434,0.9904533393331603
Ensemble Model,0.008670847499348886,343.9923179755341,0.011109478850577807,0.0001986041166884004,0.9938416983388888
