Well,Component,Concentration[mM],Volume [uL]
A1,H3BO3[mM],0.12,1011.0
B1,Glucose[mM],300.0,260.0
C1,K2SO4[mM],8.7,232.0
D1,K2HPO4[mM],79.2,469.0
A2,(NH4)6Mo7O24[mM],0.0009,685.0
B2,CoCl2[mM],0.009,770.0
C2,CuSO4[mM],0.003,2500.0
D2,MnSO4[mM],0.024,2500.0
A3,ZnSO4[mM],0.003,2500.0
