Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,B1,P2,A1,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F8,15.0
P4,A1,P2,D1,10.44306058661625
P4,A1,P2,E1,10.44306058661625
P4,A1,P2,F1,10.44306058661625
P1,C1,P2,A2,17.543567604352063
P1,C1,P2,B2,17.543567604352063
P1,C1,P2,C2,17.543567604352063
P4,A1,P2,D2,22.994232993945
P4,A1,P2,E2,22.994232993945
P4,A1,P2,F2,22.994232993945
P1,C1,P2,A3,19.264686531212188
P1,C1,P2,B3,19.264686531212188
P1,C1,P2,C3,19.264686531212188
P4,A1,P2,D3,14.96726315546875
P4,A1,P2,E3,14.96726315546875
P4,A1,P2,F3,14.96726315546875
P1,C1,P2,A4,8.494348399110876
P1,C1,P2,B4,8.494348399110876
P1,C1,P2,C4,8.494348399110876
P1,C1,P2,D4,14.265187397144315
P1,C1,P2,E4,14.265187397144315
P1,C1,P2,F4,14.265187397144315
P1,C1,P2,D5,9.391385157837812
P1,C1,P2,E5,9.391385157837812
P1,C1,P2,F5,9.391385157837812
P1,C1,P2,A7,24.59536481455225
P1,C1,P2,B7,24.59536481455225
P1,C1,P2,C7,24.59536481455225
P4,A1,P2,D7,19.703424490253752
P4,A1,P2,E7,19.703424490253752
P4,A1,P2,F7,19.703424490253752
P4,A1,P2,A8,28.141539933636253
P4,A1,P2,B8,28.141539933636253
P4,A1,P2,C8,28.141539933636253
P1,D1,P2,A2,24.145350434182507
P1,D1,P2,B2,24.145350434182507
P1,D1,P2,C2,24.145350434182507
P1,D1,P2,D2,8.751969218958177
P1,D1,P2,E2,8.751969218958177
P1,D1,P2,F2,8.751969218958177
P1,D1,P2,A3,14.499966757740657
P1,D1,P2,B3,14.499966757740657
P1,D1,P2,C3,14.499966757740657
P1,D1,P2,D4,9.599082688762564
P1,D1,P2,E4,9.599082688762564
P1,D1,P2,F4,9.599082688762564
P1,D1,P2,A5,7.481844443346908
P1,D1,P2,B5,7.481844443346908
P1,D1,P2,C5,7.481844443346908
P1,D1,P2,D5,5.923300420245611
P1,D1,P2,E5,5.923300420245611
P1,D1,P2,F5,5.923300420245611
P1,D1,P2,D7,5.038591780236472
P1,D1,P2,E7,5.038591780236472
P1,D1,P2,F7,5.038591780236472
P4,B1,P2,A8,14.302231755981541
P4,B1,P2,B8,14.302231755981541
P4,B1,P2,C8,14.302231755981541
P1,D1,P2,D8,9.674126109749976
P1,D1,P2,E8,9.674126109749976
P1,D1,P2,F8,9.674126109749976
P1,A2,P2,A1,9.097212921515403
P1,A2,P2,B1,9.097212921515403
P1,A2,P2,C1,9.097212921515403
P4,C1,P2,A2,25.368010381973402
P4,C1,P2,B2,25.368010381973402
P4,C1,P2,C2,25.368010381973402
P1,A2,P2,D2,6.213003138758173
P1,A2,P2,E2,6.213003138758173
P1,A2,P2,F2,6.213003138758173
P1,A2,P2,D3,5.590138823435416
P1,A2,P2,E3,5.590138823435416
P1,A2,P2,F3,5.590138823435416
P1,A2,P2,A4,6.406269591837451
P1,A2,P2,B4,6.406269591837451
P1,A2,P2,C4,6.406269591837451
P1,A2,P2,D4,7.97026304644679
P1,A2,P2,E4,7.97026304644679
P1,A2,P2,F4,7.97026304644679
P1,A2,P2,A5,20.582566920189894
P1,A2,P2,B5,20.582566920189894
P1,A2,P2,C5,20.582566920189894
P1,A2,P2,A6,28.128785969685467
P1,A2,P2,B6,28.128785969685467
P1,A2,P2,C6,28.128785969685467
P4,C1,P2,D7,18.4664207782337
P4,C1,P2,E7,18.4664207782337
P4,C1,P2,F7,18.4664207782337
P1,A2,P2,D8,10.360001196829224
P1,A2,P2,E8,10.360001196829224
P1,A2,P2,F8,10.360001196829224
P4,D1,P2,A1,24.473229874399003
P4,D1,P2,B1,24.473229874399003
P4,D1,P2,C1,24.473229874399003
P1,B2,P2,D1,22.458233873033834
P1,B2,P2,E1,22.458233873033834
P1,B2,P2,F1,22.458233873033834
P1,B2,P2,A2,14.082049530398857
P1,B2,P2,B2,14.082049530398857
P1,B2,P2,C2,14.082049530398857
P4,D1,P2,D2,17.182793877653854
P4,D1,P2,E2,17.182793877653854
P4,D1,P2,F2,17.182793877653854
P4,D1,P2,A3,15.003558451358785
P4,D1,P2,B3,15.003558451358785
P4,D1,P2,C3,15.003558451358785
P4,D1,P2,D3,8.164367173062214
P4,D1,P2,E3,8.164367173062214
P4,D1,P2,F3,8.164367173062214
P4,D1,P2,A4,12.026976872413098
P4,D1,P2,B4,12.026976872413098
P4,D1,P2,C4,12.026976872413098
P4,D1,P2,D4,13.319033226977213
P4,D1,P2,E4,13.319033226977213
P4,D1,P2,F4,13.319033226977213
P1,B2,P2,A5,12.311058028035312
P1,B2,P2,B5,12.311058028035312
P1,B2,P2,C5,12.311058028035312
P1,B2,P2,D5,5.334369354087541
P1,B2,P2,E5,5.334369354087541
P1,B2,P2,F5,5.334369354087541
P1,B2,P2,A6,6.8178575915697515
P1,B2,P2,B6,6.8178575915697515
P1,B2,P2,C6,6.8178575915697515
P4,D1,P2,D6,22.914206643819167
P4,D1,P2,E6,22.914206643819167
P4,D1,P2,F6,22.914206643819167
P4,D1,P2,A7,9.89704848195049
P4,D1,P2,B7,9.89704848195049
P4,D1,P2,C7,9.89704848195049
P1,B2,P2,D7,24.767096145296954
P1,B2,P2,E7,24.767096145296954
P1,B2,P2,F7,24.767096145296954
P1,B2,P2,A8,10.567478243372328
P1,B2,P2,B8,10.567478243372328
P1,B2,P2,C8,10.567478243372328
P1,B2,P2,D8,5.301611625370399
P1,B2,P2,E8,5.301611625370399
P1,B2,P2,F8,5.301611625370399
P5,B1,P2,A1,6.940160585367001
P5,B1,P2,B1,6.940160585367001
P5,B1,P2,C1,6.940160585367001
P5,B1,P2,A2,16.1424496800635
P5,B1,P2,B2,16.1424496800635
P5,B1,P2,C2,16.1424496800635
P5,C1,P2,A3,19.41645839035525
P5,C1,P2,B3,19.41645839035525
P5,C1,P2,C3,19.41645839035525
P5,C1,P2,D3,24.151357018084227
P5,C1,P2,E3,24.151357018084227
P5,C1,P2,F3,24.151357018084227
P5,C1,P2,A4,15.036739539033025
P5,C1,P2,B4,15.036739539033025
P5,C1,P2,C4,15.036739539033025
P5,B1,P2,D4,12.944837648816002
P5,B1,P2,E4,12.944837648816002
P5,B1,P2,F4,12.944837648816002
P5,B1,P2,A5,27.294180696251
P5,B1,P2,B5,27.294180696251
P5,B1,P2,C5,27.294180696251
P5,C1,P2,A6,16.167975048242923
P5,C1,P2,B6,16.167975048242923
P5,C1,P2,C6,16.167975048242923
P5,C1,P2,D6,9.072833839675523
P5,C1,P2,E6,9.072833839675523
P5,C1,P2,F6,9.072833839675523
P5,C1,P2,A8,13.632118637216175
P5,C1,P2,B8,13.632118637216175
P5,C1,P2,C8,13.632118637216175
P1,C2,P2,A1,8.072257301619004
P1,C2,P2,B1,8.072257301619004
P1,C2,P2,C1,8.072257301619004
P1,C2,P2,D1,9.612367424623654
P1,C2,P2,E1,9.612367424623654
P1,C2,P2,F1,9.612367424623654
P1,C2,P2,A2,9.885495813501224
P1,C2,P2,B2,9.885495813501224
P1,C2,P2,C2,9.885495813501224
P1,C2,P2,D2,7.003625811315661
P1,C2,P2,E2,7.003625811315661
P1,C2,P2,F2,7.003625811315661
P1,C2,P2,A3,7.363442245977724
P1,C2,P2,B3,7.363442245977724
P1,C2,P2,C3,7.363442245977724
P1,C2,P2,D3,5.681303840414911
P1,C2,P2,E3,5.681303840414911
P1,C2,P2,F3,5.681303840414911
P1,C2,P2,A4,6.720177534316761
P1,C2,P2,B4,6.720177534316761
P1,C2,P2,C4,6.720177534316761
P1,C2,P2,D4,10.864660611059062
P1,C2,P2,E4,10.864660611059062
P1,C2,P2,F4,10.864660611059062
P1,C2,P2,A5,5.249146127640457
P1,C2,P2,B5,5.249146127640457
P1,C2,P2,C5,5.249146127640457
P1,C2,P2,D5,10.21169414657502
P1,C2,P2,E5,10.21169414657502
P1,C2,P2,F5,10.21169414657502
P1,C2,P2,A6,9.304606225488161
