Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,B1,P2,A1,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F8,15.0
P4,A1,P2,A1,5.0
P4,A1,P2,B1,5.0
P4,A1,P2,C1,5.0
P1,C1,P2,D2,9.019074388627564
P1,C1,P2,E2,9.019074388627564
P1,C1,P2,F2,9.019074388627564
P1,C1,P2,A3,8.256236227977313
P1,C1,P2,B3,8.256236227977313
P1,C1,P2,C3,8.256236227977313
P4,A1,P2,D3,28.66050772650125
P4,A1,P2,E3,28.66050772650125
P4,A1,P2,F3,28.66050772650125
P1,C1,P2,A4,12.384203394879563
P1,C1,P2,B4,12.384203394879563
P1,C1,P2,C4,12.384203394879563
P1,C1,P2,D4,7.203390030022438
P1,C1,P2,E4,7.203390030022438
P1,C1,P2,F4,7.203390030022438
P1,C1,P2,A5,14.271128237617123
P1,C1,P2,B5,14.271128237617123
P1,C1,P2,C5,14.271128237617123
P1,C1,P2,D5,22.103427185418376
P1,C1,P2,E5,22.103427185418376
P1,C1,P2,F5,22.103427185418376
P4,A1,P2,A6,14.411026366220003
P4,A1,P2,B6,14.411026366220003
P4,A1,P2,C6,14.411026366220003
P1,C1,P2,D6,5.195190347090813
P1,C1,P2,E6,5.195190347090813
P1,C1,P2,F6,5.195190347090813
P4,A1,P2,A7,8.08907946082
P4,A1,P2,B7,8.08907946082
P4,A1,P2,C7,8.08907946082
P1,C1,P2,D7,10.852147758069064
P1,C1,P2,E7,10.852147758069064
P1,C1,P2,F7,10.852147758069064
P1,D1,P2,D3,7.792857253074246
P1,D1,P2,E3,7.792857253074246
P1,D1,P2,F3,7.792857253074246
P4,B1,P2,A4,12.193321010959648
P4,B1,P2,B4,12.193321010959648
P4,B1,P2,C4,12.193321010959648
P1,D1,P2,A5,7.200130685538362
P1,D1,P2,B5,7.200130685538362
P1,D1,P2,C5,7.200130685538362
P4,B1,P2,A6,19.83334364171741
P4,B1,P2,B6,19.83334364171741
P4,B1,P2,C6,19.83334364171741
P4,B1,P2,D6,15.577614294654936
P4,B1,P2,E6,15.577614294654936
P4,B1,P2,F6,15.577614294654936
P4,B1,P2,A7,21.069068230053745
P4,B1,P2,B7,21.069068230053745
P4,B1,P2,C7,21.069068230053745
P4,B1,P2,D7,22.562559845595516
P4,B1,P2,E7,22.562559845595516
P4,B1,P2,F7,22.562559845595516
P4,B1,P2,A8,14.715624420863875
P4,B1,P2,B8,14.715624420863875
P4,B1,P2,C8,14.715624420863875
P1,D1,P2,D8,10.351095699372376
P1,D1,P2,E8,10.351095699372376
P1,D1,P2,F8,10.351095699372376
P1,A2,P2,D2,7.482462139069438
P1,A2,P2,E2,7.482462139069438
P1,A2,P2,F2,7.482462139069438
P1,A2,P2,D8,9.820197121165661
P1,A2,P2,E8,9.820197121165661
P1,A2,P2,F8,9.820197121165661
P1,B2,P2,A1,24.326286399235634
P1,B2,P2,B1,24.326286399235634
P1,B2,P2,C1,24.326286399235634
P1,B2,P2,D1,24.387986322762227
P1,B2,P2,E1,24.387986322762227
P1,B2,P2,F1,24.387986322762227
P1,B2,P2,A2,18.9487132367206
P1,B2,P2,B2,18.9487132367206
P1,B2,P2,C2,18.9487132367206
P1,B2,P2,D2,9.022954318519709
P1,B2,P2,E2,9.022954318519709
P1,B2,P2,F2,9.022954318519709
P1,B2,P2,A3,9.66412448055484
P1,B2,P2,B3,9.66412448055484
P1,B2,P2,C3,9.66412448055484
P1,B2,P2,D3,18.781322590976924
P1,B2,P2,E3,18.781322590976924
P1,B2,P2,F3,18.781322590976924
P1,B2,P2,A4,5.669521620892305
P1,B2,P2,B4,5.669521620892305
P1,B2,P2,C4,5.669521620892305
P1,B2,P2,D4,16.657602530787265
P1,B2,P2,E4,16.657602530787265
P1,B2,P2,F4,16.657602530787265
P1,B2,P2,A5,15.371378937033775
P1,B2,P2,B5,15.371378937033775
P1,B2,P2,C5,15.371378937033775
P1,B2,P2,D5,7.739944279252542
P1,B2,P2,E5,7.739944279252542
P1,B2,P2,F5,7.739944279252542
P1,B2,P2,A6,14.482121069388672
P1,B2,P2,B6,14.482121069388672
P1,B2,P2,C6,14.482121069388672
P1,B2,P2,D6,18.69780424445042
P1,B2,P2,E6,18.69780424445042
P1,B2,P2,F6,18.69780424445042
P1,B2,P2,A7,15.389668460938493
P1,B2,P2,B7,15.389668460938493
P1,B2,P2,C7,15.389668460938493
P1,B2,P2,D7,16.21982324241316
P1,B2,P2,E7,16.21982324241316
P1,B2,P2,F7,16.21982324241316
P1,B2,P2,A8,18.720509905473726
P1,B2,P2,B8,18.720509905473726
P1,B2,P2,C8,18.720509905473726
P4,D1,P2,D8,22.646475329047874
P4,D1,P2,E8,22.646475329047874
P4,D1,P2,F8,22.646475329047874
P5,C1,P2,A1,25.0
P5,C1,P2,B1,25.0
P5,C1,P2,C1,25.0
P5,C1,P2,D1,24.341467365055873
P5,C1,P2,E1,24.341467365055873
P5,C1,P2,F1,24.341467365055873
P5,C1,P2,A2,24.058839888375275
P5,C1,P2,B2,24.058839888375275
P5,C1,P2,C2,24.058839888375275
P5,C1,P2,D2,24.931231406767022
P5,C1,P2,E2,24.931231406767022
P5,C1,P2,F2,24.931231406767022
P5,C1,P2,A3,23.451235281322298
P5,C1,P2,B3,23.451235281322298
P5,C1,P2,C3,23.451235281322298
P5,C1,P2,D3,5.952793214414575
P5,C1,P2,E3,5.952793214414575
P5,C1,P2,F3,5.952793214414575
P5,C1,P2,A4,17.776567551731674
P5,C1,P2,B4,17.776567551731674
P5,C1,P2,C4,17.776567551731674
P5,C1,P2,D4,23.687887602389697
P5,C1,P2,E4,23.687887602389697
P5,C1,P2,F4,23.687887602389697
P5,C1,P2,A5,16.67118035750245
P5,C1,P2,B5,16.67118035750245
P5,C1,P2,C5,16.67118035750245
P5,C1,P2,D5,6.420398915747975
P5,C1,P2,E5,6.420398915747975
P5,C1,P2,F5,6.420398915747975
P5,C1,P2,A6,25.0
P5,C1,P2,B6,25.0
P5,C1,P2,C6,25.0
P5,C1,P2,D6,23.527347066166175
P5,C1,P2,E6,23.527347066166175
P5,C1,P2,F6,23.527347066166175
P5,C1,P2,A7,24.6378785229565
P5,C1,P2,B7,24.6378785229565
P5,C1,P2,C7,24.6378785229565
P5,C1,P2,D7,23.31162957337655
P5,C1,P2,E7,23.31162957337655
P5,C1,P2,F7,23.31162957337655
P5,C1,P2,A8,23.47770051429295
P5,C1,P2,B8,23.47770051429295
P5,C1,P2,C8,23.47770051429295
P1,C2,P2,A1,11.099638605056917
P1,C2,P2,B1,11.099638605056917
P1,C2,P2,C1,11.099638605056917
P1,C2,P2,D1,11.07688728542985
P1,C2,P2,E1,11.07688728542985
P1,C2,P2,F1,11.07688728542985
P1,C2,P2,A2,10.541112791470974
P1,C2,P2,B2,10.541112791470974
P1,C2,P2,C2,10.541112791470974
P1,C2,P2,D2,9.301005189290002
P1,C2,P2,E2,9.301005189290002
P1,C2,P2,F2,9.301005189290002
P1,C2,P2,A3,9.293783929591587
P1,C2,P2,B3,9.293783929591587
P1,C2,P2,C3,9.293783929591587
P1,C2,P2,D3,5.706266934484027
P1,C2,P2,E3,5.706266934484027
P1,C2,P2,F3,5.706266934484027
P1,C2,P2,A4,7.615349943290009
P1,C2,P2,B4,7.615349943290009
P1,C2,P2,C4,7.615349943290009
P1,C2,P2,D4,11.116730006489156
P1,C2,P2,E4,11.116730006489156
P1,C2,P2,F4,11.116730006489156
P1,C2,P2,A5,5.971041394580564
P1,C2,P2,B5,5.971041394580564
P1,C2,P2,C5,5.971041394580564
P1,C2,P2,D5,7.166424229933543
P1,C2,P2,E5,7.166424229933543
P1,C2,P2,F5,7.166424229933543
P1,C2,P2,A6,8.21129278213524
P1,C2,P2,B6,8.21129278213524
P1,C2,P2,C6,8.21129278213524
P1,C2,P2,D6,7.90083069044627
P1,C2,P2,E6,7.90083069044627
P1,C2,P2,F6,7.90083069044627
P1,C2,P2,A7,7.073038902114866
P1,C2,P2,B7,7.073038902114866
