Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.29411764705917,15.0,18.126268125,18.68461954,17.702071413793103,10.078546984848485,29.683495000000004,9.788645289473685,151.9934782692308,36.22745222,10.84875,7.906883333333335,18.303275,8.9568,5.913600000000001,5.0,1085.4919971772615,15.0
B1,35.29411764705917,15.0,18.126268125,18.68461954,17.702071413793103,10.078546984848485,29.683495000000004,9.788645289473685,151.9934782692308,36.22745222,10.84875,7.906883333333335,18.303275,8.9568,5.913600000000001,5.0,1085.4919971772615,15.0
C1,35.29411764705917,15.0,18.126268125,18.68461954,17.702071413793103,10.078546984848485,29.683495000000004,9.788645289473685,151.9934782692308,36.22745222,10.84875,7.906883333333335,18.303275,8.9568,5.913600000000001,5.0,1085.4919971772615,15.0
D1,35.294117647058954,15.0,23.272593750000002,11.663731564999999,77.97468589655172,7.801331541666666,11.828778000000002,5.520710749736842,496.0355708653846,46.32132909,59.0,6.110283333333334,15.624675000000002,22.407490625,14.540525000000002,5.0,631.6041769362679,15.0
E1,35.294117647058954,15.0,23.272593750000002,11.663731564999999,77.97468589655172,7.801331541666666,11.828778000000002,5.520710749736842,496.0355708653846,46.32132909,59.0,6.110283333333334,15.624675000000002,22.407490625,14.540525000000002,5.0,631.6041769362679,15.0
F1,35.294117647058954,15.0,23.272593750000002,11.663731564999999,77.97468589655172,7.801331541666666,11.828778000000002,5.520710749736842,496.0355708653846,46.32132909,59.0,6.110283333333334,15.624675000000002,22.407490625,14.540525000000002,5.0,631.6041769362679,15.0
A2,35.2941176470586,15.0,23.27260875,11.663731564999999,77.97468593103447,7.801331537878787,11.828757500000002,5.520710748947368,496.0355708653846,46.32132909,7.25,6.115591666666667,19.72145,22.40528125,14.809149999999999,5.0,678.9856834480295,15.0
B2,35.2941176470586,15.0,23.27260875,11.663731564999999,77.97468593103447,7.801331537878787,11.828757500000002,5.520710748947368,496.0355708653846,46.32132909,7.25,6.115591666666667,19.72145,22.40528125,14.809149999999999,5.0,678.9856834480295,15.0
C2,35.2941176470586,15.0,23.27260875,11.663731564999999,77.97468593103447,7.801331537878787,11.828757500000002,5.520710748947368,496.0355708653846,46.32132909,7.25,6.115591666666667,19.72145,22.40528125,14.809149999999999,5.0,678.9856834480295,15.0
D2,35.29411764705854,15.0,23.42733,27.617707834999997,33.5980545,9.119843878787878,23.0164785,8.213819905263158,210.69696048076926,89.8530105,9.166416666666667,13.65,19.636225000000003,12.9049125,22.0931,5.0,926.7120225864544,15.0
E2,35.29411764705854,15.0,23.42733,27.617707834999997,33.5980545,9.119843878787878,23.0164785,8.213819905263158,210.69696048076926,89.8530105,9.166416666666667,13.65,19.636225000000003,12.9049125,22.0931,5.0,926.7120225864544,15.0
F2,35.29411764705854,15.0,23.42733,27.617707834999997,33.5980545,9.119843878787878,23.0164785,8.213819905263158,210.69696048076926,89.8530105,9.166416666666667,13.65,19.636225000000003,12.9049125,22.0931,5.0,926.7120225864544,15.0
