Well,Component,Concentration[mM],Volume [uL]
A1,H3BO3[mM],0.12,479.0
B1,Glucose[mM],300.0,972.0
C1,K2SO4[mM],3.0,335.0
D1,K2HPO4[mM],79.2,212.0
A2,(NH4)6Mo7O24[mM],0.0009,876.0
B2,CoCl2[mM],0.009,390.0
C2,CuSO4[mM],0.003,254.0
D2,MnSO4[mM],0.024,474.0
A3,ZnSO4[mM],0.003,247.0
