Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.06159588759317135,207691.38981373166,0.05931686258876952,0.007312543555765567,-38.19027503122311
Random Forest Regressor,0.0004890220409432713,477.625739256317,0.0005714007323201871,5.656413534243687e-07,0.9969685458909497
Support Vector Regressor,0.014561326385054184,140905.5793804785,0.006893880412480622,0.0002595578132336591,-0.391053880165914
Kernel Ridge Regressor,0.0013349003049022352,5708.507101572681,0.0012958287164520075,3.4611308864097376e-06,0.9814506853431989
K-NN Regressor,0.003013458134609808,50845.62556976249,0.003908754122155604,2.435928871651445e-05,0.8694507298199297
Gaussian Process Regressor,0.0003980364785943743,76.0546884024229,0.00045137611311817034,3.621734337854771e-07,0.9980589959744084
Gradient Boosting Regressor,0.00038669993270285354,224.07968265700237,0.0004353179377372911,3.3903854486823954e-07,0.9981829832918949
TPOT Regressor 1,0.0008203218957826622,2482.2279532857037,0.0009392149958665821,1.555052821161125e-06,0.9916659713156397
TPOT Regressor 2,0.001796367543426597,12931.391552620174,0.0018375470882586351,6.603515652644295e-06,0.9646096337578638
TPOT Regressor 3,0.0015560759135016201,17646.789036307575,0.0011925836167548044,3.843627931531872e-06,0.9794007605417052
TPOT Regressor 4,0.0007702440704583282,1257.8059393424492,0.0013992655398317655,2.551219979036896e-06,0.9863271908220258
Ensemble Model,0.0007478947519212292,2715.538433230715,0.0012319095518503536,2.0769477038914563e-06,0.9888689686262727
