,Variable,Min,Max
0,H3BO3[mM],-1.0,1.0
1,Glucose[mM],-1.0,1.0
2,K2SO4[mM],-1.0,1.0
3,K2HPO4[mM],-1.0,1.0
4,FeSO4[mM],-1.0,1.0
5,NH4Cl[mM],-1.0,1.0
6,MgCl2[mM],-1.0,1.0
7,NaCl[mM],-1.0,1.0
8,(NH4)6Mo7O24[mM],-1.0,1.0
9,CoCl2[mM],-1.0,1.0
10,CuSO4[mM],-1.0,1.0
11,MnSO4[mM],-1.0,1.0
12,ZnSO4[mM],-1.0,1.0
