,Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours
0,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210184,b597d4ab-e821-4e56-8137-0fdfade77799,C5_WA1_C1-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.013782, Glucose[mM]: 42.795319, K2SO4[mM]: 0.689979, K2HPO4[mM]: 5.890308, FeSO4[mM]: 0.080204, NH4Cl[mM]: 8.534230, MgCl2[mM]: 3.036435, NaCl[mM]: 490.645332, (NH4)6Mo7O24[mM]: 0.000141, CoCl2[mM]: 0.002972, CuSO4[mM]: 0.000079, MnSO4[mM]: 0.003381, ZnSO4[mM]: 0.000836, Kan[g/l]: 0.050000",OD340,210232,C5_WA1_C1-R1,,OD340,0,,0.6255,48.0
1,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210185,097a3a72-78c2-48bb-bbe4-384fb32a2a08,C5_WA1_C1-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.013782, Glucose[mM]: 42.795319, K2SO4[mM]: 0.689979, K2HPO4[mM]: 5.890308, FeSO4[mM]: 0.080204, NH4Cl[mM]: 8.534230, MgCl2[mM]: 3.036435, NaCl[mM]: 490.645332, (NH4)6Mo7O24[mM]: 0.000141, CoCl2[mM]: 0.002972, CuSO4[mM]: 0.000079, MnSO4[mM]: 0.003381, ZnSO4[mM]: 0.000836, Kan[g/l]: 0.050000",OD340,210233,C5_WA1_C1-R2,,OD340,0,,0.6214,48.0
2,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210186,9078f2c3-83d4-4b35-8c45-8d5cc2dce91d,C5_WA1_C1-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.013782, Glucose[mM]: 42.795319, K2SO4[mM]: 0.689979, K2HPO4[mM]: 5.890308, FeSO4[mM]: 0.080204, NH4Cl[mM]: 8.534230, MgCl2[mM]: 3.036435, NaCl[mM]: 490.645332, (NH4)6Mo7O24[mM]: 0.000141, CoCl2[mM]: 0.002972, CuSO4[mM]: 0.000079, MnSO4[mM]: 0.003381, ZnSO4[mM]: 0.000836, Kan[g/l]: 0.050000",OD340,210234,C5_WA1_C1-R3,,OD340,0,,0.6094,48.0
3,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210187,c771f157-d5fa-476f-9b16-dab1e8e5157a,C5_WD1_F1-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.002196, Glucose[mM]: 46.303341, K2SO4[mM]: 1.627894, K2HPO4[mM]: 0.419898, FeSO4[mM]: 0.072132, NH4Cl[mM]: 8.598819, MgCl2[mM]: 3.170558, NaCl[mM]: 428.803022, (NH4)6Mo7O24[mM]: 0.000243, CoCl2[mM]: 0.002480, CuSO4[mM]: 0.000943, MnSO4[mM]: 0.005789, ZnSO4[mM]: 0.000796, Kan[g/l]: 0.050000",OD340,210235,C5_WD1_F1-R1,,OD340,0,,0.3201,48.0
4,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210188,27717520-ceb0-41fe-a34e-06ce4b15bb0a,C5_WD1_F1-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.002196, Glucose[mM]: 46.303341, K2SO4[mM]: 1.627894, K2HPO4[mM]: 0.419898, FeSO4[mM]: 0.072132, NH4Cl[mM]: 8.598819, MgCl2[mM]: 3.170558, NaCl[mM]: 428.803022, (NH4)6Mo7O24[mM]: 0.000243, CoCl2[mM]: 0.002480, CuSO4[mM]: 0.000943, MnSO4[mM]: 0.005789, ZnSO4[mM]: 0.000796, Kan[g/l]: 0.050000",OD340,210236,C5_WD1_F1-R2,,OD340,0,,0.3183,48.0
5,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210189,219d4fc0-bf85-4bff-982a-a72525b213a7,C5_WD1_F1-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.002196, Glucose[mM]: 46.303341, K2SO4[mM]: 1.627894, K2HPO4[mM]: 0.419898, FeSO4[mM]: 0.072132, NH4Cl[mM]: 8.598819, MgCl2[mM]: 3.170558, NaCl[mM]: 428.803022, (NH4)6Mo7O24[mM]: 0.000243, CoCl2[mM]: 0.002480, CuSO4[mM]: 0.000943, MnSO4[mM]: 0.005789, ZnSO4[mM]: 0.000796, Kan[g/l]: 0.050000",OD340,210237,C5_WD1_F1-R3,,OD340,0,,0.3489,48.0
6,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210190,3464b715-4f62-4850-b057-1cb0e436f026,C5_WA2_C2-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.021027, Glucose[mM]: 38.736065, K2SO4[mM]: 0.039389, K2HPO4[mM]: 1.447582, FeSO4[mM]: 0.060419, NH4Cl[mM]: 11.495846, MgCl2[mM]: 3.470097, NaCl[mM]: 234.071325, (NH4)6Mo7O24[mM]: 0.000257, CoCl2[mM]: 0.001495, CuSO4[mM]: 0.000815, MnSO4[mM]: 0.007781, ZnSO4[mM]: 0.000855, Kan[g/l]: 0.050000",OD340,210238,C5_WA2_C2-R1,,OD340,0,,0.3819,48.0
7,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210191,a8155387-a142-46f9-ac8b-7cddb11009a7,C5_WA2_C2-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.021027, Glucose[mM]: 38.736065, K2SO4[mM]: 0.039389, K2HPO4[mM]: 1.447582, FeSO4[mM]: 0.060419, NH4Cl[mM]: 11.495846, MgCl2[mM]: 3.470097, NaCl[mM]: 234.071325, (NH4)6Mo7O24[mM]: 0.000257, CoCl2[mM]: 0.001495, CuSO4[mM]: 0.000815, MnSO4[mM]: 0.007781, ZnSO4[mM]: 0.000855, Kan[g/l]: 0.050000",OD340,210239,C5_WA2_C2-R2,,OD340,0,,0.3863,48.0
8,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210192,4f64a0b2-ebff-4f9a-9863-c4e11649664a,C5_WA2_C2-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.021027, Glucose[mM]: 38.736065, K2SO4[mM]: 0.039389, K2HPO4[mM]: 1.447582, FeSO4[mM]: 0.060419, NH4Cl[mM]: 11.495846, MgCl2[mM]: 3.470097, NaCl[mM]: 234.071325, (NH4)6Mo7O24[mM]: 0.000257, CoCl2[mM]: 0.001495, CuSO4[mM]: 0.000815, MnSO4[mM]: 0.007781, ZnSO4[mM]: 0.000855, Kan[g/l]: 0.050000",OD340,210240,C5_WA2_C2-R3,,OD340,0,,0.379,48.0
9,210183,Combinatorial Media Optimization for Flaviolin Yield DBTL5,210193,6d3617eb-6f8d-4a89-8522-55a5a05ab47d,C5_WD2_F2-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.010362, Glucose[mM]: 3.042005, K2SO4[mM]: 1.201076, K2HPO4[mM]: 4.945357, FeSO4[mM]: 0.096946, NH4Cl[mM]: 7.701755, MgCl2[mM]: 1.743529, NaCl[mM]: 318.415402, (NH4)6Mo7O24[mM]: 0.000233, CoCl2[mM]: 0.002811, CuSO4[mM]: 0.000980, MnSO4[mM]: 0.006352, ZnSO4[mM]: 0.000713, Kan[g/l]: 0.050000",OD340,210241,C5_WD2_F2-R1,,OD340,0,,0.1324,48.0
