Well,Component,Concentration
A1,MOPS[mM],1700
B1,Tricine[mM],400
C1,H3BO3[mM],2.4
D1,Glucose[mM],3000
A2,K2SO4[mM],43.5
B2,K2HPO4[mM],396
C2,NH4Cl[mM],1900
D2,MgCl2[mM],15.6
A3,NaCl[mM],1500
B3,(NH4)6Mo7O24[mM],0.018
C3,CoCl2[mM],0.18
D3,CuSO4[mM],0.06
A4,MnSO4[mM],0.48
B4,ZnSO4[mM],0.06
C4,Kan[g/l],15
