Well,Component,Concentration[mM]
A1,H3BO3[mM],0.06
B1,Glucose[mM],300
C1,K2SO4[mM],8.7
D1,K2HPO4[mM],39.6
A2,(NH4)6Mo7O24[mM],0.00045
B2,CoCl2[mM],0.0045
C2,CuSO4[mM],0.0015
D2,MnSO4[mM],0.012
A3,ZnSO4[mM],0.0015
