,Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours
0,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208440,c7f6759c-abae-42f1-94e2-da344bdb1678,C1_WA1_C1-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.003661, Glucose[mM]: 32.989243, K2SO4[mM]: 0.144954, K2HPO4[mM]: 0.614290, FeSO4[mM]: 0.017450, NH4Cl[mM]: 7.979403, MgCl2[mM]: 0.270786, NaCl[mM]: 26.240883, (NH4)6Mo7O24[mM]: 0.000021, CoCl2[mM]: 0.000706, CuSO4[mM]: 0.000188, MnSO4[mM]: 0.000546, ZnSO4[mM]: 0.000092, Kan[g/l]: 0.050000",OD340,208488,C1_WA1_C1-R1,,OD340,0,,0.1664,48.0
1,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208441,5c50572c-baaa-4537-91f9-d0c19304dd71,C1_WA1_C1-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.003661, Glucose[mM]: 32.989243, K2SO4[mM]: 0.144954, K2HPO4[mM]: 0.614290, FeSO4[mM]: 0.017450, NH4Cl[mM]: 7.979403, MgCl2[mM]: 0.270786, NaCl[mM]: 26.240883, (NH4)6Mo7O24[mM]: 0.000021, CoCl2[mM]: 0.000706, CuSO4[mM]: 0.000188, MnSO4[mM]: 0.000546, ZnSO4[mM]: 0.000092, Kan[g/l]: 0.050000",OD340,208489,C1_WA1_C1-R2,,OD340,0,,0.1707,48.0
2,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208442,8e320b95-6038-4ce6-baee-df5506e1eda5,C1_WA1_C1-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.003661, Glucose[mM]: 32.989243, K2SO4[mM]: 0.144954, K2HPO4[mM]: 0.614290, FeSO4[mM]: 0.017450, NH4Cl[mM]: 7.979403, MgCl2[mM]: 0.270786, NaCl[mM]: 26.240883, (NH4)6Mo7O24[mM]: 0.000021, CoCl2[mM]: 0.000706, CuSO4[mM]: 0.000188, MnSO4[mM]: 0.000546, ZnSO4[mM]: 0.000092, Kan[g/l]: 0.050000",OD340,208490,C1_WA1_C1-R3,,OD340,0,,0.1535,48.0
3,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208443,dea4c0a6-77ec-4937-8541-289e4d2a534a,C1_WD1_F1-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.033185, Glucose[mM]: 10.948725, K2SO4[mM]: 2.408075, K2HPO4[mM]: 2.381316, FeSO4[mM]: 0.083375, NH4Cl[mM]: 6.352852, MgCl2[mM]: 0.394845, NaCl[mM]: 42.424487, (NH4)6Mo7O24[mM]: 0.000010, CoCl2[mM]: 0.001777, CuSO4[mM]: 0.000277, MnSO4[mM]: 0.000396, ZnSO4[mM]: 0.000053, Kan[g/l]: 0.050000",OD340,208491,C1_WD1_F1-R1,,OD340,0,,0.1894,48.0
4,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208444,d08877ac-7bf2-4152-adb0-a378d9fdb36a,C1_WD1_F1-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.033185, Glucose[mM]: 10.948725, K2SO4[mM]: 2.408075, K2HPO4[mM]: 2.381316, FeSO4[mM]: 0.083375, NH4Cl[mM]: 6.352852, MgCl2[mM]: 0.394845, NaCl[mM]: 42.424487, (NH4)6Mo7O24[mM]: 0.000010, CoCl2[mM]: 0.001777, CuSO4[mM]: 0.000277, MnSO4[mM]: 0.000396, ZnSO4[mM]: 0.000053, Kan[g/l]: 0.050000",OD340,208492,C1_WD1_F1-R2,,OD340,0,,0.1954,48.0
5,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208445,3dcb42cd-7e5f-4ac0-acfd-f77f4778fedf,C1_WD1_F1-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.033185, Glucose[mM]: 10.948725, K2SO4[mM]: 2.408075, K2HPO4[mM]: 2.381316, FeSO4[mM]: 0.083375, NH4Cl[mM]: 6.352852, MgCl2[mM]: 0.394845, NaCl[mM]: 42.424487, (NH4)6Mo7O24[mM]: 0.000010, CoCl2[mM]: 0.001777, CuSO4[mM]: 0.000277, MnSO4[mM]: 0.000396, ZnSO4[mM]: 0.000053, Kan[g/l]: 0.050000",OD340,208493,C1_WD1_F1-R3,,OD340,0,,0.2078,48.0
6,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208446,2aa1e2fa-908a-4e99-9469-30ffe4e3c7b1,C1_WA2_C2-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.001096, Glucose[mM]: 129.695160, K2SO4[mM]: 0.215986, K2HPO4[mM]: 5.430301, FeSO4[mM]: 0.070543, NH4Cl[mM]: 9.628863, MgCl2[mM]: 0.396082, NaCl[mM]: 21.949810, (NH4)6Mo7O24[mM]: 0.000185, CoCl2[mM]: 0.000054, CuSO4[mM]: 0.000027, MnSO4[mM]: 0.000771, ZnSO4[mM]: 0.000028, Kan[g/l]: 0.050000",OD340,208494,C1_WA2_C2-R1,,OD340,0,,0.391,48.0
7,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208447,c1e28672-28b9-4cd1-b57a-9e52f16f1b90,C1_WA2_C2-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.001096, Glucose[mM]: 129.695160, K2SO4[mM]: 0.215986, K2HPO4[mM]: 5.430301, FeSO4[mM]: 0.070543, NH4Cl[mM]: 9.628863, MgCl2[mM]: 0.396082, NaCl[mM]: 21.949810, (NH4)6Mo7O24[mM]: 0.000185, CoCl2[mM]: 0.000054, CuSO4[mM]: 0.000027, MnSO4[mM]: 0.000771, ZnSO4[mM]: 0.000028, Kan[g/l]: 0.050000",OD340,208495,C1_WA2_C2-R2,,OD340,0,,0.4007,48.0
8,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208448,e35d278d-177d-48fd-871c-0cb945b5156f,C1_WA2_C2-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.001096, Glucose[mM]: 129.695160, K2SO4[mM]: 0.215986, K2HPO4[mM]: 5.430301, FeSO4[mM]: 0.070543, NH4Cl[mM]: 9.628863, MgCl2[mM]: 0.396082, NaCl[mM]: 21.949810, (NH4)6Mo7O24[mM]: 0.000185, CoCl2[mM]: 0.000054, CuSO4[mM]: 0.000027, MnSO4[mM]: 0.000771, ZnSO4[mM]: 0.000028, Kan[g/l]: 0.050000",OD340,208496,C1_WA2_C2-R3,,OD340,0,,0.3649,48.0
9,208439,Combinatorial Media Optimization for Flaviolin Yield DBTL1,208449,45b7d58c-6efc-4cf2-9e5f-fcd1dd7a6ea0,C1_WD2_F2-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.017883, Glucose[mM]: 152.883536, K2SO4[mM]: 0.249906, K2HPO4[mM]: 0.853615, FeSO4[mM]: 0.004581, NH4Cl[mM]: 13.455555, MgCl2[mM]: 0.353538, NaCl[mM]: 370.415298, (NH4)6Mo7O24[mM]: 0.000030, CoCl2[mM]: 0.000205, CuSO4[mM]: 0.000075, MnSO4[mM]: 0.000143, ZnSO4[mM]: 0.000768, Kan[g/l]: 0.050000",OD340,208497,C1_WD2_F2-R1,,OD340,0,,0.6051,48.0
