Well,Component,Concentration,Volume [uL],,,
A1,MOPS[mM],1700,1794,,,
B1,Tricine[mM],400,820,,,
C1,H3BO3[mM],2.4,368,,,
D1,Glucose[mM],3000,1383,,,
A2,K2SO4[mM],43.5,2365,,,
B2,K2HPO4[mM],396,802,,,
C2,NH4Cl[mM],1900,499,,,
D2,MgCl2[mM],15.6,8071,,,
A3,NaCl[mM],1500,9000,,,
B3,(NH4)6Mo7O24[mM],0.018,904,,,
C3,CoCl2[mM],0.18,927,,,
D3,CuSO4[mM],0.06,964,,,
A4,MnSO4[mM],0.48,612,,,
B4,ZnSO4[mM],0.06,457,,,
C4,Kan[g/l],15,240,,,
D4,NaCl[mM],1500,9000,,,
A5,NaCl[mM],1500,2466,,,
