Well,Component,Concentration[mM],Volume [uL]
A1,H3BO3[mM],0.12,725.0
B1,Glucose[mM],300.0,418.0
C1,K2SO4[mM],3.0,475.0
D1,K2HPO4[mM],79.2,168.0
A2,(NH4)6Mo7O24[mM],0.0009,467.0
B2,CoCl2[mM],0.009,318.0
C2,CuSO4[mM],0.003,246.0
D2,MnSO4[mM],0.024,683.0
A3,ZnSO4[mM],0.003,1103.0
