Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.29411764705868,15.0,8.613996250000001,21.397659485,23.79237827586207,22.31177422348485,20.0511195,6.737550221052631,291.9648682692308,490.6453325,11.759,24.768875,39.49999999999999,10.565015625000001,20.905825,5.0,436.69248800331087,15.0
B1,35.29411764705868,15.0,8.613996250000001,21.397659485,23.79237827586207,22.31177422348485,20.0511195,6.737550221052631,291.9648682692308,490.6453325,11.759,24.768875,39.49999999999999,10.565015625000001,20.905825,5.0,436.69248800331087,15.0
C1,35.29411764705868,15.0,8.613996250000001,21.397659485,23.79237827586207,22.31177422348485,20.0511195,6.737550221052631,291.9648682692308,490.6453325,11.759,24.768875,39.49999999999999,10.565015625000001,20.905825,5.0,436.69248800331087,15.0
D1,35.29411764705851,15.0,27.453875,23.151670585,56.13429079310345,7.952618787878788,18.032926000000003,6.788541620526317,304.8613825,428.8030225,20.217166666666667,20.668800000000005,23.573925,18.090759375,19.902375,5.0,454.07452852476615,15.0
E1,35.29411764705851,15.0,27.453875,23.151670585,56.13429079310345,7.952618787878788,18.032926000000003,6.788541620526317,304.8613825,428.8030225,20.217166666666667,20.668800000000005,23.573925,18.090759375,19.902375,5.0,454.07452852476615,15.0
F1,35.29411764705851,15.0,27.453875,23.151670585,56.13429079310345,7.952618787878788,18.032926000000003,6.788541620526317,304.8613825,428.8030225,20.217166666666667,20.668800000000005,23.573925,18.090759375,19.902375,5.0,454.07452852476615,15.0
A2,35.2941176470584,15.0,13.141715000000001,19.368032405,19.6943815,5.483264897727272,15.104845249999999,9.075668068421054,333.66313817307696,234.0713249,21.456333333333337,12.457075,20.383675000000004,24.315609375,21.380775,5.0,680.1100444503829,15.0
B2,35.2941176470584,15.0,13.141715000000001,19.368032405,19.6943815,5.483264897727272,15.104845249999999,9.075668068421054,333.66313817307696,234.0713249,21.456333333333337,12.457075,20.383675000000004,24.315609375,21.380775,5.0,680.1100444503829,15.0
C2,35.2941176470584,15.0,13.141715000000001,19.368032405,19.6943815,5.483264897727272,15.104845249999999,9.075668068421054,333.66313817307696,234.0713249,21.456333333333337,12.457075,20.383675000000004,24.315609375,21.380775,5.0,680.1100444503829,15.0
D2,35.294117647058556,15.0,6.476545625000001,15.210025825,41.41643055172414,18.732414170454547,24.236562499999998,6.080332678421052,167.6469846153846,318.415402,19.395583333333335,23.428858333333334,24.48985,19.848468750000002,17.8196,5.0,726.5088239702903,15.0
E2,35.294117647058556,15.0,6.476545625000001,15.210025825,41.41643055172414,18.732414170454547,24.236562499999998,6.080332678421052,167.6469846153846,318.415402,19.395583333333335,23.428858333333334,24.48985,19.848468750000002,17.8196,5.0,726.5088239702903,15.0
F2,35.294117647058556,15.0,6.476545625000001,15.210025825,41.41643055172414,18.732414170454547,24.236562499999998,6.080332678421052,167.6469846153846,318.415402,19.395583333333335,23.428858333333334,24.48985,19.848468750000002,17.8196,5.0,726.5088239702903,15.0
A3,35.29411764705793,15.0,22.496745,15.34679835,65.89565862068966,12.415507128787878,16.444452500000004,5.042510853947369,422.0361053846154,450.7764264,12.030583333333334,24.340566666666668,17.101225,7.996528125,20.392025,5.0,337.39074998990134,15.0
B3,35.29411764705793,15.0,22.496745,15.34679835,65.89565862068966,12.415507128787878,16.444452500000004,5.042510853947369,422.0361053846154,450.7764264,12.030583333333334,24.340566666666668,17.101225,7.996528125,20.392025,5.0,337.39074998990134,15.0
C3,35.29411764705793,15.0,22.496745,15.34679835,65.89565862068966,12.415507128787878,16.444452500000004,5.042510853947369,422.0361053846154,450.7764264,12.030583333333334,24.340566666666668,17.101225,7.996528125,20.392025,5.0,337.39074998990134,15.0
D3,35.29411764705873,15.0,21.139163125,49.987164615,26.294353448275864,11.734385890151517,24.5418865,8.111305271052633,404.8093266346154,388.83616830000005,17.473166666666668,15.075691666666668,16.28675,24.04895,11.816125,5.0,409.5514452355123,15.0
E3,35.29411764705873,15.0,21.139163125,49.987164615,26.294353448275864,11.734385890151517,24.5418865,8.111305271052633,404.8093266346154,388.83616830000005,17.473166666666668,15.075691666666668,16.28675,24.04895,11.816125,5.0,409.5514452355123,15.0
F3,35.29411764705873,15.0,21.139163125,49.987164615,26.294353448275864,11.734385890151517,24.5418865,8.111305271052633,404.8093266346154,388.83616830000005,17.473166666666668,15.075691666666668,16.28675,24.04895,11.816125,5.0,409.5514452355123,15.0
A4,35.29411764705889,15.0,10.682515000000002,47.699519460000005,93.89977713793104,16.273633909090908,18.681505,8.687465794736843,427.01212,389.9401065,16.966416666666667,7.114241666666667,23.4844,19.649484375,21.161800000000003,5.0,328.4528968428491,15.0
B4,35.29411764705889,15.0,10.682515000000002,47.699519460000005,93.89977713793104,16.273633909090908,18.681505,8.687465794736843,427.01212,389.9401065,16.966416666666667,7.114241666666667,23.4844,19.649484375,21.161800000000003,5.0,328.4528968428491,15.0
C4,35.29411764705889,15.0,10.682515000000002,47.699519460000005,93.89977713793104,16.273633909090908,18.681505,8.687465794736843,427.01212,389.9401065,16.966416666666667,7.114241666666667,23.4844,19.649484375,21.161800000000003,5.0,328.4528968428491,15.0
D4,35.29411764705867,15.0,7.36121875,5.592158425,80.76593937931035,9.28177946212121,24.134371750000003,7.496611305789473,285.1313601923077,478.2211579,6.566666666666667,22.909925,18.287075,7.0504999999999995,23.652275000000003,5.0,453.2548435217459,15.0
E4,35.29411764705867,15.0,7.36121875,5.592158425,80.76593937931035,9.28177946212121,24.134371750000003,7.496611305789473,285.1313601923077,478.2211579,6.566666666666667,22.909925,18.287075,7.0504999999999995,23.652275000000003,5.0,453.2548435217459,15.0
