Well,Component,Concentration[mM],Volume [uL]
A1,H3BO3[mM],0.12,452.0
B1,Glucose[mM],300.0,305.0
C1,K2SO4[mM],3.0,100.0
D1,K2HPO4[mM],79.2,348.0
A2,(NH4)6Mo7O24[mM],0.0009,400.0
B2,CoCl2[mM],0.009,378.0
C2,CuSO4[mM],0.003,391.0
D2,MnSO4[mM],0.024,843.0
A3,ZnSO4[mM],0.003,457.0
