Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l]
A1,40.0,4.0,0.0036614236694747,32.989242856449195,0.1449535811661142,0.6142895430913453,0.0174504751726629,7.979403118903866,0.2707856582882204,26.240883125165983,2.083520658963305e-05,0.0007063359964535,0.000188132877591,0.0005459547147156,9.230938387055312e-05,0.05
B1,40.0,4.0,0.0036614236694747,32.989242856449195,0.1449535811661142,0.6142895430913453,0.0174504751726629,7.979403118903866,0.2707856582882204,26.240883125165983,2.083520658963305e-05,0.0007063359964535,0.000188132877591,0.0005459547147156,9.230938387055312e-05,0.05
C1,40.0,4.0,0.0036614236694747,32.989242856449195,0.1449535811661142,0.6142895430913453,0.0174504751726629,7.979403118903866,0.2707856582882204,26.240883125165983,2.083520658963305e-05,0.0007063359964535,0.000188132877591,0.0005459547147156,9.230938387055312e-05,0.05
D1,40.0,4.0,0.0331848813246066,10.948725328458394,2.4080748191792507,2.3813157563672585,0.0833745478895564,6.352851569103919,0.3948452626113745,42.424487377380146,1.0172319323193843e-05,0.0017769498138154,0.0002767865099346,0.0003960238911342,5.332348495129848e-05,0.05
E1,40.0,4.0,0.0331848813246066,10.948725328458394,2.4080748191792507,2.3813157563672585,0.0833745478895564,6.352851569103919,0.3948452626113745,42.424487377380146,1.0172319323193843e-05,0.0017769498138154,0.0002767865099346,0.0003960238911342,5.332348495129848e-05,0.05
F1,40.0,4.0,0.0331848813246066,10.948725328458394,2.4080748191792507,2.3813157563672585,0.0833745478895564,6.352851569103919,0.3948452626113745,42.424487377380146,1.0172319323193843e-05,0.0017769498138154,0.0002767865099346,0.0003960238911342,5.332348495129848e-05,0.05
A2,40.0,4.0,0.0010960707085005,129.69515996908174,0.2159864676818429,5.430301460335344,0.0705426797104672,9.62886288462431,0.3960815688665122,21.949810016638015,0.0001852094206932,5.399464404787187e-05,2.68695888617998e-05,0.0007706555045651,2.8459352651315173e-05,0.05
B2,40.0,4.0,0.0010960707085005,129.69515996908174,0.2159864676818429,5.430301460335344,0.0705426797104672,9.62886288462431,0.3960815688665122,21.949810016638015,0.0001852094206932,5.399464404787187e-05,2.68695888617998e-05,0.0007706555045651,2.8459352651315173e-05,0.05
C2,40.0,4.0,0.0010960707085005,129.69515996908174,0.2159864676818429,5.430301460335344,0.0705426797104672,9.62886288462431,0.3960815688665122,21.949810016638015,0.0001852094206932,5.399464404787187e-05,2.68695888617998e-05,0.0007706555045651,2.8459352651315173e-05,0.05
D2,40.0,4.0,0.0178833989606691,152.88353560354247,0.2499061196173047,0.8536147714485939,0.0045813780619597,13.45555455798996,0.3535380052382951,370.4152975866075,2.964476691041043e-05,0.0002048587527273,7.51186083623548e-05,0.0001431261097353,0.0007679618624147,0.05
E2,40.0,4.0,0.0178833989606691,152.88353560354247,0.2499061196173047,0.8536147714485939,0.0045813780619597,13.45555455798996,0.3535380052382951,370.4152975866075,2.964476691041043e-05,0.0002048587527273,7.51186083623548e-05,0.0001431261097353,0.0007679618624147,0.05
F2,40.0,4.0,0.0178833989606691,152.88353560354247,0.2499061196173047,0.8536147714485939,0.0045813780619597,13.45555455798996,0.3535380052382951,370.4152975866075,2.964476691041043e-05,0.0002048587527273,7.51186083623548e-05,0.0001431261097353,0.0007679618624147,0.05
A3,40.0,4.0,0.0043662973019385,8.188010450530282,0.10484767381056,1.071416840014242,0.0479473722831812,8.426906594988939,0.0755098512223136,113.69669545421334,2.3411956641286688e-05,0.0002278230193667,0.0007094781411353,0.0064121266214553,1.0148174427482273e-05,0.05
B3,40.0,4.0,0.0043662973019385,8.188010450530282,0.10484767381056,1.071416840014242,0.0479473722831812,8.426906594988939,0.0755098512223136,113.69669545421334,2.3411956641286688e-05,0.0002278230193667,0.0007094781411353,0.0064121266214553,1.0148174427482273e-05,0.05
C3,40.0,4.0,0.0043662973019385,8.188010450530282,0.10484767381056,1.071416840014242,0.0479473722831812,8.426906594988939,0.0755098512223136,113.69669545421334,2.3411956641286688e-05,0.0002278230193667,0.0007094781411353,0.0064121266214553,1.0148174427482273e-05,0.05
D3,40.0,4.0,0.025472872871037,85.75203774851018,2.5874345485681673,0.3455398707242404,0.0059269174160669,9.224615585248593,1.1910674268734376,18.632418630086462,1.516663009184231e-05,0.0001910947756136,0.0003376232464696,0.0012048596946105,6.783623753199087e-05,0.05
E3,40.0,4.0,0.025472872871037,85.75203774851018,2.5874345485681673,0.3455398707242404,0.0059269174160669,9.224615585248593,1.1910674268734376,18.632418630086462,1.516663009184231e-05,0.0001910947756136,0.0003376232464696,0.0012048596946105,6.783623753199087e-05,0.05
F3,40.0,4.0,0.025472872871037,85.75203774851018,2.5874345485681673,0.3455398707242404,0.0059269174160669,9.224615585248593,1.1910674268734376,18.632418630086462,1.516663009184231e-05,0.0001910947756136,0.0003376232464696,0.0012048596946105,6.783623753199087e-05,0.05
A4,40.0,4.0,0.0263032211227346,17.87547010844493,0.2872613362085348,4.41032788021016,0.0308301782928483,10.9158781019492,3.4574688927887496,58.112395302744424,1.6637471301627926e-05,0.0001706451908965,4.151831640877255e-05,0.0077521679614056,0.0003911467510787,0.05
B4,40.0,4.0,0.0263032211227346,17.87547010844493,0.2872613362085348,4.41032788021016,0.0308301782928483,10.9158781019492,3.4574688927887496,58.112395302744424,1.6637471301627926e-05,0.0001706451908965,4.151831640877255e-05,0.0077521679614056,0.0003911467510787,0.05
C4,40.0,4.0,0.0263032211227346,17.87547010844493,0.2872613362085348,4.41032788021016,0.0308301782928483,10.9158781019492,3.4574688927887496,58.112395302744424,1.6637471301627926e-05,0.0001706451908965,4.151831640877255e-05,0.0077521679614056,0.0003911467510787,0.05
D4,40.0,4.0,0.036303129250781,104.15682336047776,1.1096818416590264,3.923182064816999,0.0277457679565222,14.012436456693274,0.170738381896574,255.57938175586,9.722887448867196e-05,0.0002863572555875,0.0004138854501459,0.0048781368518366,0.0006843355527166,0.05
E4,40.0,4.0,0.036303129250781,104.15682336047776,1.1096818416590264,3.923182064816999,0.0277457679565222,14.012436456693274,0.170738381896574,255.57938175586,9.722887448867196e-05,0.0002863572555875,0.0004138854501459,0.0048781368518366,0.0006843355527166,0.05
F4,40.0,4.0,0.036303129250781,104.15682336047776,1.1096818416590264,3.923182064816999,0.0277457679565222,14.012436456693274,0.170738381896574,255.57938175586,9.722887448867196e-05,0.0002863572555875,0.0004138854501459,0.0048781368518366,0.0006843355527166,0.05
A5,40.0,4.0,0.0018966793985023,3.4986863263701973,0.1236030849782124,4.9245479095928015,0.0938531558035968,10.07807044265212,0.3051747224682709,348.3627961214084,3.8540777209670435e-05,0.0014254668028674,0.0009110071867316,0.000576517809619,0.0006194162707658,0.05
B5,40.0,4.0,0.0018966793985023,3.4986863263701973,0.1236030849782124,4.9245479095928015,0.0938531558035968,10.07807044265212,0.3051747224682709,348.3627961214084,3.8540777209670435e-05,0.0014254668028674,0.0009110071867316,0.000576517809619,0.0006194162707658,0.05
C5,40.0,4.0,0.0018966793985023,3.4986863263701973,0.1236030849782124,4.9245479095928015,0.0938531558035968,10.07807044265212,0.3051747224682709,348.3627961214084,3.8540777209670435e-05,0.0014254668028674,0.0009110071867316,0.000576517809619,0.0006194162707658,0.05
D5,40.0,4.0,0.0004157030614882,13.19507692366193,1.2117719295159992,5.553505084276881,0.0036315916581977,13.109187965541857,3.968991832160993,280.773748953455,0.0002489720264041,0.0017272038207042,0.0005629251029537,0.0035349202259607,0.0002632534731714,0.05
E5,40.0,4.0,0.0004157030614882,13.19507692366193,1.2117719295159992,5.553505084276881,0.0036315916581977,13.109187965541857,3.968991832160993,280.773748953455,0.0002489720264041,0.0017272038207042,0.0005629251029537,0.0035349202259607,0.0002632534731714,0.05
F5,40.0,4.0,0.0004157030614882,13.19507692366193,1.2117719295159992,5.553505084276881,0.0036315916581977,13.109187965541857,3.968991832160993,280.773748953455,0.0002489720264041,0.0017272038207042,0.0005629251029537,0.0035349202259607,0.0002632534731714,0.05
A6,40.0,4.0,0.0094281137214609,5.728598518087981,0.0794025547237449,2.334499635803191,0.0047115488377317,10.67447115467129,3.2347659456016182,479.90023624144413,0.0001670128948301,0.0022675468660488,7.777386816198885e-05,0.0016789015835124,6.324150886264978e-05,0.05
B6,40.0,4.0,0.0094281137214609,5.728598518087981,0.0794025547237449,2.334499635803191,0.0047115488377317,10.67447115467129,3.2347659456016182,479.90023624144413,0.0001670128948301,0.0022675468660488,7.777386816198885e-05,0.0016789015835124,6.324150886264978e-05,0.05
C6,40.0,4.0,0.0094281137214609,5.728598518087981,0.0794025547237449,2.334499635803191,0.0047115488377317,10.67447115467129,3.2347659456016182,479.90023624144413,0.0001670128948301,0.0022675468660488,7.777386816198885e-05,0.0016789015835124,6.324150886264978e-05,0.05
D6,40.0,4.0,0.0033539914926849,5.56036904395254,0.0840057457764646,1.1282810493134772,0.0068621907474309,11.392169567417604,5.036936290141398,175.61960202955802,8.029951839606605e-06,0.0002555851100239,0.0008257113566925,0.0040301369868728,0.0007054655863048,0.05
E6,40.0,4.0,0.0033539914926849,5.56036904395254,0.0840057457764646,1.1282810493134772,0.0068621907474309,11.392169567417604,5.036936290141398,175.61960202955802,8.029951839606605e-06,0.0002555851100239,0.0008257113566925,0.0040301369868728,0.0007054655863048,0.05
F6,40.0,4.0,0.0033539914926849,5.56036904395254,0.0840057457764646,1.1282810493134772,0.0068621907474309,11.392169567417604,5.036936290141398,175.61960202955802,8.029951839606605e-06,0.0002555851100239,0.0008257113566925,0.0040301369868728,0.0007054655863048,0.05
A7,40.0,4.0,0.0082298608899407,101.68182269436844,0.7994057058101354,4.527835149790189,0.0423573463319272,11.621011778663036,0.849415574655424,44.34727273156695,0.00010962092395,0.000400548683356,8.544779747015488e-05,0.0003309437027127,3.643242376751306e-05,0.05
B7,40.0,4.0,0.0082298608899407,101.68182269436844,0.7994057058101354,4.527835149790189,0.0423573463319272,11.621011778663036,0.849415574655424,44.34727273156695,0.00010962092395,0.000400548683356,8.544779747015488e-05,0.0003309437027127,3.643242376751306e-05,0.05
C7,40.0,4.0,0.0082298608899407,101.68182269436844,0.7994057058101354,4.527835149790189,0.0423573463319272,11.621011778663036,0.849415574655424,44.34727273156695,0.00010962092395,0.000400548683356,8.544779747015488e-05,0.0003309437027127,3.643242376751306e-05,0.05
D7,40.0,4.0,0.0205514020313692,191.82535619455257,1.4709445121841498,0.9952496824419592,0.0099050883894272,8.212796459274731,0.4605542151016478,202.8384931616542,1.8269508932504898e-05,0.0029294323158171,3.620982708735242e-05,0.000642428009315,9.952955879169796e-05,0.05
E7,40.0,4.0,0.0205514020313692,191.82535619455257,1.4709445121841498,0.9952496824419592,0.0099050883894272,8.212796459274731,0.4605542151016478,202.8384931616542,1.8269508932504898e-05,0.0029294323158171,3.620982708735242e-05,0.000642428009315,9.952955879169796e-05,0.05
F7,40.0,4.0,0.0205514020313692,191.82535619455257,1.4709445121841498,0.9952496824419592,0.0099050883894272,8.212796459274731,0.4605542151016478,202.8384931616542,1.8269508932504898e-05,0.0029294323158171,3.620982708735242e-05,0.000642428009315,9.952955879169796e-05,0.05
A8,40.0,4.0,0.0028059854669056,15.870891620434737,0.4548621497149901,0.2746644533917152,0.0017656335691343,7.5292219284516895,3.70718201617304,13.414318690126448,2.1358340192126345e-05,3.589370117051954e-05,3.1095543763977665e-05,0.0019956523818136,0.0009666447146297,0.05
B8,40.0,4.0,0.0028059854669056,15.870891620434737,0.4548621497149901,0.2746644533917152,0.0017656335691343,7.5292219284516895,3.70718201617304,13.414318690126448,2.1358340192126345e-05,3.589370117051954e-05,3.1095543763977665e-05,0.0019956523818136,0.0009666447146297,0.05
C8,40.0,4.0,0.0028059854669056,15.870891620434737,0.4548621497149901,0.2746644533917152,0.0017656335691343,7.5292219284516895,3.70718201617304,13.414318690126448,2.1358340192126345e-05,3.589370117051954e-05,3.1095543763977665e-05,0.0019956523818136,0.0009666447146297,0.05
D8,40.0,4.0,0.0041319011155993,19.638833776932103,0.2852951893882214,1.3216416081186575,0.0094119748597925,10.16765774929634,0.5608037959483533,45.548442576158735,3.279409726681246e-05,0.0003270811004383,9.593569875258636e-05,0.000858359242074,9.682196905071557e-05,0.05
E8,40.0,4.0,0.0041319011155993,19.638833776932103,0.2852951893882214,1.3216416081186575,0.0094119748597925,10.16765774929634,0.5608037959483533,45.548442576158735,3.279409726681246e-05,0.0003270811004383,9.593569875258636e-05,0.000858359242074,9.682196905071557e-05,0.05
F8,40.0,4.0,0.0041319011155993,19.638833776932103,0.2852951893882214,1.3216416081186575,0.0094119748597925,10.16765774929634,0.5608037959483533,45.548442576158735,3.279409726681246e-05,0.0003270811004383,9.593569875258636e-05,0.000858359242074,9.682196905071557e-05,0.05
