Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.294117647058556,15.0,45.76779586843375,16.494621428224598,72.4767905830571,11.634271649457297,87.25237586331451,6.299528778081999,26.037082527713498,26.240883125165986,34.725344316055086,5.886133303779166,94.06643879549999,34.122169669725,46.15469193527656,5.0,922.5477545091569,15.0
B1,35.294117647058556,15.0,45.76779586843375,16.494621428224598,72.4767905830571,11.634271649457297,87.25237586331451,6.299528778081999,26.037082527713498,26.240883125165986,34.725344316055086,5.886133303779166,94.06643879549999,34.122169669725,46.15469193527656,5.0,922.5477545091569,15.0
C1,35.294117647058556,15.0,45.76779586843375,16.494621428224598,72.4767905830571,11.634271649457297,87.25237586331451,6.299528778081999,26.037082527713498,26.240883125165986,34.725344316055086,5.886133303779166,94.06643879549999,34.122169669725,46.15469193527656,5.0,922.5477545091569,15.0
D1,35.29411764705788,15.0,20.740550827879126,5.474362664229197,83.037062730319,9.02013544078507,20.8436369723891,5.015409133503094,37.96589063570908,42.424487377380146,16.953865538656405,14.807915115128333,6.919662748364999,24.7514931958875,26.66174247564924,5.0,1115.0896674970618,15.0
E1,35.29411764705788,15.0,20.740550827879126,5.474362664229197,83.037062730319,9.02013544078507,20.8436369723891,5.015409133503094,37.96589063570908,42.424487377380146,16.953865538656405,14.807915115128333,6.919662748364999,24.7514931958875,26.66174247564924,5.0,1115.0896674970618,15.0
F1,35.29411764705788,15.0,20.740550827879126,5.474362664229197,83.037062730319,9.02013544078507,20.8436369723891,5.015409133503094,37.96589063570908,42.424487377380146,16.953865538656405,14.807915115128333,6.919662748364999,24.7514931958875,26.66174247564924,5.0,1115.0896674970618,15.0
A2,35.29411764705902,15.0,13.70088385625625,64.84757998454087,7.447809230408375,20.569323713391455,17.6356699276168,7.601733856282349,38.08476623716464,21.949810016638015,15.434118391100004,8.99910734131198,13.434794430899899,48.165969035318746,14.229676325657588,5.0,1137.604640006354,15.0
B2,35.29411764705902,15.0,13.70088385625625,64.84757998454087,7.447809230408375,20.569323713391455,17.6356699276168,7.601733856282349,38.08476623716464,21.949810016638015,15.434118391100004,8.99910734131198,13.434794430899899,48.165969035318746,14.229676325657588,5.0,1137.604640006354,15.0
C2,35.29411764705902,15.0,13.70088385625625,64.84757998454087,7.447809230408375,20.569323713391455,17.6356699276168,7.601733856282349,38.08476623716464,21.949810016638015,15.434118391100004,8.99910734131198,13.434794430899899,48.165969035318746,14.229676325657588,5.0,1137.604640006354,15.0
D2,35.29411764705839,15.0,11.17712435041819,76.44176780177123,8.617452400596713,16.16694642895064,22.906890309798502,10.622806229992074,33.99403896522068,370.4152975866075,49.407944850684046,34.14312545455,37.5593041811774,8.94538185845625,383.98093120735,5.0,365.3268707273682,15.0
E2,35.29411764705839,15.0,11.17712435041819,76.44176780177123,8.617452400596713,16.16694642895064,22.906890309798502,10.622806229992074,33.99403896522068,370.4152975866075,49.407944850684046,34.14312545455,37.5593041811774,8.94538185845625,383.98093120735,5.0,365.3268707273682,15.0
F2,35.29411764705839,15.0,11.17712435041819,76.44176780177123,8.617452400596713,16.16694642895064,22.906890309798502,10.622806229992074,33.99403896522068,370.4152975866075,49.407944850684046,34.14312545455,37.5593041811774,8.94538185845625,383.98093120735,5.0,365.3268707273682,15.0
A3,35.29411764705875,15.0,54.57871627423126,40.940052252651405,52.42383690528,20.291985606330343,11.9868430707953,6.652820996043899,7.260562617530153,113.69669545421334,39.019927735477815,37.97050322778333,17.7369535283825,20.037895692047815,5.074087213741136,5.0,1002.035001778433,15.0
B3,35.29411764705875,15.0,54.57871627423126,40.940052252651405,52.42383690528,20.291985606330343,11.9868430707953,6.652820996043899,7.260562617530153,113.69669545421334,39.019927735477815,37.97050322778333,17.7369535283825,20.037895692047815,5.074087213741136,5.0,1002.035001778433,15.0
C3,35.29411764705875,15.0,54.57871627423126,40.940052252651405,52.42383690528,20.291985606330343,11.9868430707953,6.652820996043899,7.260562617530153,113.69669545421334,39.019927735477815,37.97050322778333,17.7369535283825,20.037895692047815,5.074087213741136,5.0,1002.035001778433,15.0
D3,35.29411764705898,15.0,15.920545544398125,42.87601887425509,89.22188098510922,6.544315733413645,29.6345870803345,7.282591251512047,114.52571412244593,18.632418630086462,25.277716819737186,31.84912926893334,8.44058116174,75.30373091315624,33.91811876599544,5.0,930.2785332018237,15.0
