Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,B1,P2,A1,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F8,15.0
P1,C1,P2,A1,18.126268125
P1,C1,P2,B1,18.126268125
P1,C1,P2,C1,18.126268125
P1,C1,P2,D1,23.272593750000002
P1,C1,P2,E1,23.272593750000002
P1,C1,P2,F1,23.272593750000002
P1,C1,P2,A2,23.27260875
P1,C1,P2,B2,23.27260875
P1,C1,P2,C2,23.27260875
P1,C1,P2,D2,23.42733
P1,C1,P2,E2,23.42733
P1,C1,P2,F2,23.42733
P1,C1,P2,A3,13.857267499999999
P1,C1,P2,B3,13.857267499999999
P1,C1,P2,C3,13.857267499999999
P1,C1,P2,D3,19.745606249999998
P1,C1,P2,E3,19.745606249999998
P1,C1,P2,F3,19.745606249999998
P1,C1,P2,A4,6.76876
P1,C1,P2,B4,6.76876
P1,C1,P2,C4,6.76876
P1,C1,P2,D4,5.434172500000001
P1,C1,P2,E4,5.434172500000001
P1,C1,P2,F4,5.434172500000001
P1,C1,P2,D5,15.088627500000001
P1,C1,P2,E5,15.088627500000001
P1,C1,P2,F5,15.088627500000001
P1,C1,P2,A6,21.834416875000002
P1,C1,P2,B6,21.834416875000002
P1,C1,P2,C6,21.834416875000002
P1,C1,P2,D6,20.486835
P1,C1,P2,E6,20.486835
P1,C1,P2,F6,20.486835
P1,C1,P2,A7,14.919111250000002
P1,C1,P2,B7,14.919111250000002
P1,C1,P2,C7,14.919111250000002
P1,C1,P2,D7,19.35863
P1,C1,P2,E7,19.35863
P1,C1,P2,F7,19.35863
P1,C1,P2,A8,12.668058749999998
P1,C1,P2,B8,12.668058749999998
P1,C1,P2,C8,12.668058749999998
P4,B1,P2,A1,18.68461954
P4,B1,P2,B1,18.68461954
P4,B1,P2,C1,18.68461954
P4,B1,P2,D1,11.663731564999999
P4,B1,P2,E1,11.663731564999999
P4,B1,P2,F1,11.663731564999999
P4,B1,P2,A2,11.663731564999999
P4,B1,P2,B2,11.663731564999999
P4,B1,P2,C2,11.663731564999999
P4,B1,P2,D2,27.617707834999997
P4,B1,P2,E2,27.617707834999997
P4,B1,P2,F2,27.617707834999997
P4,B1,P2,A3,22.135805485000002
P4,B1,P2,B3,22.135805485000002
P4,B1,P2,C3,22.135805485000002
P4,B1,P2,D4,13.08273614
P4,B1,P2,E4,13.08273614
P4,B1,P2,F4,13.08273614
P4,B1,P2,A5,16.83024551
P4,B1,P2,B5,16.83024551
P4,B1,P2,C5,16.83024551
P4,B1,P2,D5,14.750850945
P4,B1,P2,E5,14.750850945
P4,B1,P2,F5,14.750850945
P4,B1,P2,A6,13.103974060000002
P4,B1,P2,B6,13.103974060000002
P4,B1,P2,C6,13.103974060000002
P1,D1,P2,D7,6.556372075
P1,D1,P2,E7,6.556372075
P1,D1,P2,F7,6.556372075
P1,D1,P2,A8,8.31718292
P1,D1,P2,B8,8.31718292
P1,D1,P2,C8,8.31718292
P1,D1,P2,D8,9.004886195
P1,D1,P2,E8,9.004886195
P1,D1,P2,F8,9.004886195
P1,A2,P2,A1,17.702071413793103
P1,A2,P2,B1,17.702071413793103
P1,A2,P2,C1,17.702071413793103
P1,A2,P2,D8,10.129799448275861
P1,A2,P2,E8,10.129799448275861
P1,A2,P2,F8,10.129799448275861
P1,B2,P2,A1,10.078546984848485
P1,B2,P2,B1,10.078546984848485
P1,B2,P2,C1,10.078546984848485
P1,B2,P2,D1,7.801331541666666
P1,B2,P2,E1,7.801331541666666
P1,B2,P2,F1,7.801331541666666
P1,B2,P2,A2,7.801331537878787
P1,B2,P2,B2,7.801331537878787
P1,B2,P2,C2,7.801331537878787
P1,B2,P2,D2,9.119843878787878
P1,B2,P2,E2,9.119843878787878
P1,B2,P2,F2,9.119843878787878
P1,B2,P2,A3,19.71605715151515
P1,B2,P2,B3,19.71605715151515
P1,B2,P2,C3,19.71605715151515
P4,D1,P2,D3,18.78638875
P4,D1,P2,E3,18.78638875
P4,D1,P2,F3,18.78638875
P1,B2,P2,A4,7.9729459280303026
P1,B2,P2,B4,7.9729459280303026
P1,B2,P2,C4,7.9729459280303026
P1,B2,P2,D4,10.388458401515152
P1,B2,P2,E4,10.388458401515152
P1,B2,P2,F4,10.388458401515152
P1,B2,P2,A5,15.144061121212122
P1,B2,P2,B5,15.144061121212122
P1,B2,P2,C5,15.144061121212122
P1,B2,P2,D5,8.083715753787878
P1,B2,P2,E5,8.083715753787878
P1,B2,P2,F5,8.083715753787878
P4,D1,P2,A6,18.681247272727273
P4,D1,P2,B6,18.681247272727273
P4,D1,P2,C6,18.681247272727273
P1,B2,P2,D6,7.7519947386363635
P1,B2,P2,E6,7.7519947386363635
P1,B2,P2,F6,7.7519947386363635
P1,B2,P2,A7,14.304657162878788
P1,B2,P2,B7,14.304657162878788
P1,B2,P2,C7,14.304657162878788
P1,B2,P2,D7,8.411661397727274
P1,B2,P2,E7,8.411661397727274
P1,B2,P2,F7,8.411661397727274
P1,B2,P2,A8,8.628253397727274
P1,B2,P2,B8,8.628253397727274
P1,B2,P2,C8,8.628253397727274
P1,B2,P2,D8,5.444047075757576
P1,B2,P2,E8,5.444047075757576
P1,B2,P2,F8,5.444047075757576
P5,B1,P2,A1,29.683495000000004
P5,B1,P2,B1,29.683495000000004
P5,B1,P2,C1,29.683495000000004
P5,C1,P2,D1,11.828778000000002
P5,C1,P2,E1,11.828778000000002
P5,C1,P2,F1,11.828778000000002
P5,C1,P2,A2,11.828757500000002
P5,C1,P2,B2,11.828757500000002
P5,C1,P2,C2,11.828757500000002
P5,C1,P2,D2,23.0164785
P5,C1,P2,E2,23.0164785
P5,C1,P2,F2,23.0164785
P5,C1,P2,A3,23.205821750000002
P5,C1,P2,B3,23.205821750000002
P5,C1,P2,C3,23.205821750000002
P5,B1,P2,D3,20.31943
P5,B1,P2,E3,20.31943
P5,B1,P2,F3,20.31943
P5,C1,P2,A4,7.31900575
P5,C1,P2,B4,7.31900575
P5,C1,P2,C4,7.31900575
P5,C1,P2,D4,23.275205250000003
P5,C1,P2,E4,23.275205250000003
P5,C1,P2,F4,23.275205250000003
P5,C1,P2,A5,23.57683225
P5,C1,P2,B5,23.57683225
P5,C1,P2,C5,23.57683225
P5,C1,P2,D5,23.715433750000003
P5,C1,P2,E5,23.715433750000003
P5,C1,P2,F5,23.715433750000003
P5,C1,P2,A6,18.84993525
P5,C1,P2,B6,18.84993525
P5,C1,P2,C6,18.84993525
P5,C1,P2,A7,18.613190250000002
P5,C1,P2,B7,18.613190250000002
P5,C1,P2,C7,18.613190250000002
P5,C1,P2,D7,24.46013975
P5,C1,P2,E7,24.46013975
P5,C1,P2,F7,24.46013975
P5,C1,P2,A8,24.69819175
P5,C1,P2,B8,24.69819175
P5,C1,P2,C8,24.69819175
P1,C2,P2,A1,9.788645289473685
P1,C2,P2,B1,9.788645289473685
P1,C2,P2,C1,9.788645289473685
P1,C2,P2,D1,5.520710749736842
P1,C2,P2,E1,5.520710749736842
P1,C2,P2,F1,5.520710749736842
P1,C2,P2,A2,5.520710748947368
P1,C2,P2,B2,5.520710748947368
P1,C2,P2,C2,5.520710748947368
P1,C2,P2,D2,8.213819905263158
P1,C2,P2,E2,8.213819905263158
P1,C2,P2,F2,8.213819905263158
P1,C2,P2,A3,5.4609909560526315
P1,C2,P2,B3,5.4609909560526315
P1,C2,P2,C3,5.4609909560526315
P1,C2,P2,D3,5.787806797894737
P1,C2,P2,E3,5.787806797894737
P1,C2,P2,F3,5.787806797894737
P1,C2,P2,A4,5.931022071315789
P1,C2,P2,B4,5.931022071315789
P1,C2,P2,C4,5.931022071315789
P1,C2,P2,D4,8.444115647368422
P1,C2,P2,E4,8.444115647368422
P1,C2,P2,F4,8.444115647368422
P1,C2,P2,A5,7.334133949736842
P1,C2,P2,B5,7.334133949736842
P1,C2,P2,C5,7.334133949736842
P1,C2,P2,D5,6.481903522894737
P1,C2,P2,E5,6.481903522894737
P1,C2,P2,F5,6.481903522894737
P1,C2,P2,A6,7.469244580263159
